# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkForwardedMethods

# Run progress: 0.00% complete, ETA 01:33:20
# Fork: 1 of 10
# Warmup Iteration   1: 0.132 ops/ns
# Warmup Iteration   2: 0.133 ops/ns
# Warmup Iteration   3: 0.164 ops/ns
# Warmup Iteration   4: 0.163 ops/ns
# Warmup Iteration   5: 0.164 ops/ns
# Warmup Iteration   6: 0.164 ops/ns
# Warmup Iteration   7: 0.163 ops/ns
# Warmup Iteration   8: 0.163 ops/ns
# Warmup Iteration   9: 0.163 ops/ns
# Warmup Iteration  10: 0.162 ops/ns
# Warmup Iteration  11: 0.161 ops/ns
# Warmup Iteration  12: 0.164 ops/ns
# Warmup Iteration  13: 0.163 ops/ns
# Warmup Iteration  14: 0.162 ops/ns
# Warmup Iteration  15: 0.164 ops/ns
# Warmup Iteration  16: 0.164 ops/ns
# Warmup Iteration  17: 0.164 ops/ns
# Warmup Iteration  18: 0.158 ops/ns
# Warmup Iteration  19: 0.159 ops/ns
# Warmup Iteration  20: 0.160 ops/ns
Iteration   1: 0.158 ops/ns
Iteration   2: 0.163 ops/ns
Iteration   3: 0.164 ops/ns
Iteration   4: 0.165 ops/ns
Iteration   5: 0.165 ops/ns
Iteration   6: 0.166 ops/ns
Iteration   7: 0.166 ops/ns
Iteration   8: 0.165 ops/ns
Iteration   9: 0.160 ops/ns
Iteration  10: 0.165 ops/ns
Iteration  11: 0.165 ops/ns
Iteration  12: 0.165 ops/ns
Iteration  13: 0.164 ops/ns
Iteration  14: 0.164 ops/ns
Iteration  15: 0.164 ops/ns
Iteration  16: 0.161 ops/ns
Iteration  17: 0.163 ops/ns
Iteration  18: 0.158 ops/ns
Iteration  19: 0.165 ops/ns
Iteration  20: 0.154 ops/ns

# Run progress: 0.71% complete, ETA 01:33:57
# Fork: 2 of 10
# Warmup Iteration   1: 0.134 ops/ns
# Warmup Iteration   2: 0.135 ops/ns
# Warmup Iteration   3: 0.166 ops/ns
# Warmup Iteration   4: 0.166 ops/ns
# Warmup Iteration   5: 0.166 ops/ns
# Warmup Iteration   6: 0.165 ops/ns
# Warmup Iteration   7: 0.165 ops/ns
# Warmup Iteration   8: 0.167 ops/ns
# Warmup Iteration   9: 0.166 ops/ns
# Warmup Iteration  10: 0.167 ops/ns
# Warmup Iteration  11: 0.167 ops/ns
# Warmup Iteration  12: 0.166 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.167 ops/ns
# Warmup Iteration  15: 0.167 ops/ns
# Warmup Iteration  16: 0.166 ops/ns
# Warmup Iteration  17: 0.167 ops/ns
# Warmup Iteration  18: 0.166 ops/ns
# Warmup Iteration  19: 0.166 ops/ns
# Warmup Iteration  20: 0.167 ops/ns
Iteration   1: 0.167 ops/ns
Iteration   2: 0.166 ops/ns
Iteration   3: 0.167 ops/ns
Iteration   4: 0.168 ops/ns
Iteration   5: 0.167 ops/ns
Iteration   6: 0.167 ops/ns
Iteration   7: 0.167 ops/ns
Iteration   8: 0.168 ops/ns
Iteration   9: 0.168 ops/ns
Iteration  10: 0.166 ops/ns
Iteration  11: 0.167 ops/ns
Iteration  12: 0.168 ops/ns
Iteration  13: 0.166 ops/ns
Iteration  14: 0.167 ops/ns
Iteration  15: 0.165 ops/ns
Iteration  16: 0.167 ops/ns
Iteration  17: 0.166 ops/ns
Iteration  18: 0.166 ops/ns
Iteration  19: 0.165 ops/ns
Iteration  20: 0.166 ops/ns

# Run progress: 1.43% complete, ETA 01:33:17
# Fork: 3 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.167 ops/ns
# Warmup Iteration   4: 0.167 ops/ns
# Warmup Iteration   5: 0.165 ops/ns
# Warmup Iteration   6: 0.166 ops/ns
# Warmup Iteration   7: 0.166 ops/ns
# Warmup Iteration   8: 0.165 ops/ns
# Warmup Iteration   9: 0.167 ops/ns
# Warmup Iteration  10: 0.167 ops/ns
# Warmup Iteration  11: 0.167 ops/ns
# Warmup Iteration  12: 0.167 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.168 ops/ns
# Warmup Iteration  15: 0.166 ops/ns
# Warmup Iteration  16: 0.167 ops/ns
# Warmup Iteration  17: 0.168 ops/ns
# Warmup Iteration  18: 0.168 ops/ns
# Warmup Iteration  19: 0.167 ops/ns
# Warmup Iteration  20: 0.167 ops/ns
Iteration   1: 0.167 ops/ns
Iteration   2: 0.167 ops/ns
Iteration   3: 0.167 ops/ns
Iteration   4: 0.170 ops/ns
Iteration   5: 0.170 ops/ns
Iteration   6: 0.167 ops/ns
Iteration   7: 0.169 ops/ns
Iteration   8: 0.169 ops/ns
Iteration   9: 0.169 ops/ns
Iteration  10: 0.169 ops/ns
Iteration  11: 0.170 ops/ns
Iteration  12: 0.170 ops/ns
Iteration  13: 0.170 ops/ns
Iteration  14: 0.169 ops/ns
Iteration  15: 0.169 ops/ns
Iteration  16: 0.169 ops/ns
Iteration  17: 0.169 ops/ns
Iteration  18: 0.168 ops/ns
Iteration  19: 0.169 ops/ns
Iteration  20: 0.168 ops/ns

# Run progress: 2.14% complete, ETA 01:32:35
# Fork: 4 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.168 ops/ns
# Warmup Iteration   4: 0.168 ops/ns
# Warmup Iteration   5: 0.168 ops/ns
# Warmup Iteration   6: 0.167 ops/ns
# Warmup Iteration   7: 0.146 ops/ns
# Warmup Iteration   8: 0.114 ops/ns
# Warmup Iteration   9: 0.114 ops/ns
# Warmup Iteration  10: 0.146 ops/ns
# Warmup Iteration  11: 0.168 ops/ns
# Warmup Iteration  12: 0.167 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.168 ops/ns
# Warmup Iteration  15: 0.168 ops/ns
# Warmup Iteration  16: 0.168 ops/ns
# Warmup Iteration  17: 0.167 ops/ns
# Warmup Iteration  18: 0.167 ops/ns
# Warmup Iteration  19: 0.167 ops/ns
# Warmup Iteration  20: 0.168 ops/ns
Iteration   1: 0.167 ops/ns
Iteration   2: 0.167 ops/ns
Iteration   3: 0.167 ops/ns
Iteration   4: 0.168 ops/ns
Iteration   5: 0.168 ops/ns
Iteration   6: 0.164 ops/ns
Iteration   7: 0.164 ops/ns
Iteration   8: 0.153 ops/ns
Iteration   9: 0.167 ops/ns
Iteration  10: 0.167 ops/ns
Iteration  11: 0.167 ops/ns
Iteration  12: 0.167 ops/ns
Iteration  13: 0.166 ops/ns
Iteration  14: 0.166 ops/ns
Iteration  15: 0.167 ops/ns
Iteration  16: 0.165 ops/ns
Iteration  17: 0.166 ops/ns
Iteration  18: 0.159 ops/ns
Iteration  19: 0.166 ops/ns
Iteration  20: 0.167 ops/ns

# Run progress: 2.86% complete, ETA 01:31:53
# Fork: 5 of 10
# Warmup Iteration   1: 0.133 ops/ns
# Warmup Iteration   2: 0.134 ops/ns
# Warmup Iteration   3: 0.141 ops/ns
# Warmup Iteration   4: 0.165 ops/ns
# Warmup Iteration   5: 0.165 ops/ns
# Warmup Iteration   6: 0.167 ops/ns
# Warmup Iteration   7: 0.167 ops/ns
# Warmup Iteration   8: 0.166 ops/ns
# Warmup Iteration   9: 0.166 ops/ns
# Warmup Iteration  10: 0.167 ops/ns
# Warmup Iteration  11: 0.167 ops/ns
# Warmup Iteration  12: 0.167 ops/ns
# Warmup Iteration  13: 0.166 ops/ns
# Warmup Iteration  14: 0.166 ops/ns
# Warmup Iteration  15: 0.166 ops/ns
# Warmup Iteration  16: 0.166 ops/ns
# Warmup Iteration  17: 0.165 ops/ns
# Warmup Iteration  18: 0.165 ops/ns
# Warmup Iteration  19: 0.165 ops/ns
# Warmup Iteration  20: 0.166 ops/ns
Iteration   1: 0.165 ops/ns
Iteration   2: 0.166 ops/ns
Iteration   3: 0.166 ops/ns
Iteration   4: 0.166 ops/ns
Iteration   5: 0.166 ops/ns
Iteration   6: 0.166 ops/ns
Iteration   7: 0.167 ops/ns
Iteration   8: 0.164 ops/ns
Iteration   9: 0.166 ops/ns
Iteration  10: 0.168 ops/ns
Iteration  11: 0.169 ops/ns
Iteration  12: 0.167 ops/ns
Iteration  13: 0.163 ops/ns
Iteration  14: 0.164 ops/ns
Iteration  15: 0.166 ops/ns
Iteration  16: 0.168 ops/ns
Iteration  17: 0.168 ops/ns
Iteration  18: 0.167 ops/ns
Iteration  19: 0.164 ops/ns
Iteration  20: 0.166 ops/ns

# Run progress: 3.57% complete, ETA 01:31:13
# Fork: 6 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.169 ops/ns
# Warmup Iteration   4: 0.170 ops/ns
# Warmup Iteration   5: 0.170 ops/ns
# Warmup Iteration   6: 0.170 ops/ns
# Warmup Iteration   7: 0.170 ops/ns
# Warmup Iteration   8: 0.170 ops/ns
# Warmup Iteration   9: 0.170 ops/ns
# Warmup Iteration  10: 0.169 ops/ns
# Warmup Iteration  11: 0.170 ops/ns
# Warmup Iteration  12: 0.170 ops/ns
# Warmup Iteration  13: 0.170 ops/ns
# Warmup Iteration  14: 0.165 ops/ns
# Warmup Iteration  15: 0.156 ops/ns
# Warmup Iteration  16: 0.166 ops/ns
