# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkNativeAccess

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 2.699 ops/ns
# Warmup Iteration   2: 2.702 ops/ns
# Warmup Iteration   3: 2.688 ops/ns
# Warmup Iteration   4: 2.734 ops/ns
# Warmup Iteration   5: 2.737 ops/ns
# Warmup Iteration   6: 2.728 ops/ns
# Warmup Iteration   7: 2.708 ops/ns
# Warmup Iteration   8: 2.724 ops/ns
# Warmup Iteration   9: 2.688 ops/ns
# Warmup Iteration  10: 2.692 ops/ns
# Warmup Iteration  11: 2.723 ops/ns
# Warmup Iteration  12: 2.721 ops/ns
# Warmup Iteration  13: 2.722 ops/ns
# Warmup Iteration  14: 2.724 ops/ns
# Warmup Iteration  15: 2.727 ops/ns
# Warmup Iteration  16: 2.722 ops/ns
# Warmup Iteration  17: 2.722 ops/ns
# Warmup Iteration  18: 2.594 ops/ns
# Warmup Iteration  19: 2.738 ops/ns
# Warmup Iteration  20: 2.723 ops/ns
Iteration   1: 2.702 ops/ns
Iteration   2: 2.730 ops/ns
Iteration   3: 2.723 ops/ns
Iteration   4: 2.722 ops/ns
Iteration   5: 2.421 ops/ns
Iteration   6: 2.729 ops/ns
Iteration   7: 2.733 ops/ns
Iteration   8: 2.727 ops/ns
Iteration   9: 2.599 ops/ns
Iteration  10: 2.691 ops/ns
Iteration  11: 2.702 ops/ns
Iteration  12: 2.695 ops/ns
Iteration  13: 2.646 ops/ns
Iteration  14: 2.692 ops/ns
Iteration  15: 2.712 ops/ns
Iteration  16: 2.731 ops/ns
Iteration  17: 2.619 ops/ns
Iteration  18: 2.728 ops/ns
Iteration  19: 2.689 ops/ns
Iteration  20: 2.694 ops/ns

# Run progress: 1.11% complete, ETA 01:00:08
# Fork: 2 of 10
# Warmup Iteration   1: 2.737 ops/ns
# Warmup Iteration   2: 2.775 ops/ns
# Warmup Iteration   3: 2.790 ops/ns
# Warmup Iteration   4: 2.775 ops/ns
# Warmup Iteration   5: 2.782 ops/ns
# Warmup Iteration   6: 2.779 ops/ns
# Warmup Iteration   7: 2.774 ops/ns
# Warmup Iteration   8: 2.780 ops/ns
# Warmup Iteration   9: 2.780 ops/ns
# Warmup Iteration  10: 2.753 ops/ns
# Warmup Iteration  11: 2.776 ops/ns
# Warmup Iteration  12: 2.782 ops/ns
# Warmup Iteration  13: 2.779 ops/ns
# Warmup Iteration  14: 2.761 ops/ns
