# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkForwardedMethods

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.166 ops/ns
# Warmup Iteration   4: 0.170 ops/ns
# Warmup Iteration   5: 0.169 ops/ns
# Warmup Iteration   6: 0.154 ops/ns
# Warmup Iteration   7: 0.156 ops/ns
# Warmup Iteration   8: 0.166 ops/ns
# Warmup Iteration   9: 0.165 ops/ns
# Warmup Iteration  10: 0.164 ops/ns
# Warmup Iteration  11: 0.168 ops/ns
# Warmup Iteration  12: 0.168 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.168 ops/ns
# Warmup Iteration  15: 0.170 ops/ns
# Warmup Iteration  16: 0.171 ops/ns
# Warmup Iteration  17: 0.170 ops/ns
# Warmup Iteration  18: 0.170 ops/ns
# Warmup Iteration  19: 0.169 ops/ns
# Warmup Iteration  20: 0.167 ops/ns
Iteration   1: 0.169 ops/ns
Iteration   2: 0.167 ops/ns
Iteration   3: 0.168 ops/ns
Iteration   4: 0.171 ops/ns
Iteration   5: 0.168 ops/ns
Iteration   6: 0.169 ops/ns
Iteration   7: 0.168 ops/ns
Iteration   8: 0.168 ops/ns
Iteration   9: 0.170 ops/ns
Iteration  10: 0.169 ops/ns
Iteration  11: 0.166 ops/ns
Iteration  12: 0.168 ops/ns
Iteration  13: 0.166 ops/ns
Iteration  14: 0.163 ops/ns
Iteration  15: 0.168 ops/ns
Iteration  16: 0.168 ops/ns
Iteration  17: 0.168 ops/ns
Iteration  18: 0.168 ops/ns
Iteration  19: 0.170 ops/ns
Iteration  20: 0.169 ops/ns

# Run progress: 1.11% complete, ETA 01:00:02
# Fork: 2 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.168 ops/ns
# Warmup Iteration   4: 0.171 ops/ns
# Warmup Iteration   5: 0.170 ops/ns
# Warmup Iteration   6: 0.169 ops/ns
# Warmup Iteration   7: 0.168 ops/ns
# Warmup Iteration   8: 0.170 ops/ns
# Warmup Iteration   9: 0.169 ops/ns
# Warmup Iteration  10: 0.170 ops/ns
# Warmup Iteration  11: 0.170 ops/ns
# Warmup Iteration  12: 0.171 ops/ns
# Warmup Iteration  13: 0.171 ops/ns
# Warmup Iteration  14: 0.171 ops/ns
